PassengerId,Survived
892,1.0
893,0.0
894,1.0
895,0.0
896,1.0
897,0.0
898,1.0
899,0.0
900,1.0
901,0.0
902,1.0
903,0.0
904,0.0
905,1.0
906,1.0
907,0.0
908,0.0
909,1.0
910,1.0
911,0.0
912,1.0
913,0.0
914,1.0
915,0.0
916,0.0
917,1.0
918,1.0
919,0.0
920,0.0
921,1.0
922,0.0
923,1.0
924,1.0
925,0.0
926,1.0
927,0.0
928,1.0
929,0.0
930,1.0
931,0.0
932,1.0
933,0.0
934,1.0
935,0.0
936,0.0
937,1.0
938,1.0
939,0.0
940,0.0
941,1.0
942,1.0
943,0.0
944,0.0
945,1.0
946,1.0
947,0.0
948,1.0
949,0.0
950,1.0
951,0.0
952,1.0
953,0.0
954,1.0
955,0.0
956,1.0
957,0.0
958,1.0
959,0.0
960,1.0
961,0.0
962,1.0
963,0.0
964,1.0
965,0.0
966,1.0
967,0.0
968,1.0
969,0.0
970,1.0
971,0.0
972,1.0
973,0.0
974,1.0
975,0.0
976,1.0
977,0.0
978,0.0
979,1.0
980,0.0
981,1.0
982,1.0
983,0.0
984,1.0
985,0.0
986,1.0
987,0.0
988,0.0
989,1.0
990,1.0
991,0.0
992,1.0
993,0.0
994,1.0
995,0.0
996,0.0
997,1.0
998,0.0
999,1.0
1000,1.0
1001,0.0
1002,1.0
1003,0.0
1004,1.0
1005,0.0
1006,1.0
1007,0.0
1008,1.0
1009,0.0
1010,0.0
1011,1.0
1012,1.0
1013,0.0
1014,1.0
1015,0.0
1016,1.0
1017,0.0
1018,0.0
1019,1.0
1020,0.0
1021,1.0
1022,0.0
1023,1.0
1024,0.0
1025,1.0
1026,1.0
1027,0.0
1028,1.0
1029,0.0
1030,0.0
1031,1.0
1032,0.0
1033,1.0
1034,1.0
1035,0.0
1036,1.0
1037,0.0
1038,1.0
1039,0.0
1040,0.0
1041,1.0
1042,1.0
1043,0.0
1044,1.0
1045,0.0
1046,0.0
1047,1.0
1048,1.0
1049,0.0
1050,0.0
1051,1.0
1052,1.0
1053,0.0
1054,1.0
1055,0.0
1056,1.0
1057,0.0
1058,1.0
1059,0.0
1060,1.0
1061,0.0
1062,1.0
1063,0.0
1064,0.0
1065,1.0
1066,1.0
1067,0.0
1068,0.0
1069,1.0
1070,1.0
1071,0.0
1072,1.0
1073,0.0
1074,1.0
1075,0.0
1076,0.0
1077,1.0
1078,1.0
1079,0.0
1080,1.0
1081,0.0
1082,1.0
1083,0.0
1084,0.0
1085,1.0
1086,1.0
1087,0.0
1088,1.0
1089,0.0
1090,1.0
1091,0.0
1092,0.0
1093,1.0
1094,1.0
1095,0.0
1096,1.0
1097,0.0
1098,1.0
1099,0.0
1100,0.0
1101,1.0
1102,1.0
1103,0.0
1104,1.0
1105,0.0
1106,1.0
1107,0.0
1108,1.0
1109,0.0
1110,1.0
1111,0.0
1112,1.0
1113,0.0
1114,0.0
1115,1.0
1116,0.0
1117,1.0
1118,0.0
1119,1.0
1120,0.0
1121,1.0
1122,1.0
1123,0.0
1124,1.0
1125,0.0
1126,0.0
1127,1.0
1128,1.0
1129,0.0
1130,0.0
1131,1.0
1132,0.0
1133,1.0
1134,1.0
1135,0.0
1136,0.0
1137,1.0
1138,1.0
1139,0.0
1140,1.0
1141,0.0
1142,1.0
1143,0.0
1144,1.0
1145,0.0
1146,1.0
1147,0.0
1148,1.0
1149,0.0
1150,1.0
1151,0.0
1152,1.0
1153,0.0
1154,1.0
1155,0.0
1156,1.0
1157,0.0
1158,1.0
1159,0.0
1160,1.0
1161,0.0
1162,1.0
1163,0.0
1164,1.0
1165,0.0
1166,1.0
1167,0.0
1168,1.0
1169,0.0
1170,1.0
1171,0.0
1172,1.0
1173,0.0
1174,0.0
1175,1.0
1176,1.0
1177,0.0
1178,1.0
1179,0.0
1180,1.0
1181,0.0
1182,1.0
1183,0.0
1184,1.0
1185,0.0
1186,1.0
1187,0.0
1188,1.0
1189,0.0
1190,1.0
1191,0.0
1192,0.0
1193,1.0
1194,1.0
1195,0.0
1196,1.0
1197,0.0
1198,1.0
1199,0.0
1200,1.0
1201,0.0
1202,1.0
1203,0.0
1204,0.0
1205,1.0
1206,1.0
1207,0.0
1208,1.0
1209,0.0
1210,1.0
1211,0.0
1212,0.0
1213,1.0
1214,1.0
1215,0.0
1216,0.0
1217,1.0
1218,1.0
1219,0.0
1220,1.0
1221,0.0
1222,1.0
1223,0.0
1224,1.0
1225,0.0
1226,1.0
1227,0.0
1228,0.0
1229,1.0
1230,1.0
1231,0.0
1232,1.0
1233,0.0
1234,1.0
1235,0.0
1236,1.0
1237,0.0
1238,1.0
1239,0.0
1240,1.0
1241,0.0
1242,0.0
1243,1.0
1244,0.0
1245,1.0
1246,1.0
1247,0.0
1248,0.0
1249,1.0
1250,0.0
1251,1.0
1252,1.0
1253,0.0
1254,1.0
1255,0.0
1256,0.0
1257,1.0
1258,1.0
1259,0.0
1260,0.0
1261,1.0
1262,1.0
1263,0.0
1264,0.0
1265,1.0
1266,1.0
1267,0.0
1268,1.0
1269,0.0
1270,1.0
1271,0.0
1272,1.0
1273,0.0
1274,1.0
1275,0.0
1276,1.0
1277,0.0
1278,1.0
1279,0.0
1280,1.0
1281,0.0
1282,1.0
1283,0.0
1284,0.0
1285,1.0
1286,1.0
1287,0.0
1288,1.0
1289,0.0
1290,1.0
1291,0.0
1292,0.0
1293,1.0
1294,1.0
1295,0.0
1296,1.0
1297,0.0
1298,0.0
1299,1.0
1300,1.0
1301,0.0
1302,1.0
1303,0.0
1304,0.0
1305,1.0
1306,1.0
1307,0.0
1308,0.0
1309,1.0
